github_repo,workflow,builds
1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,Docker,28
2dotstwice/docker-nginx,Docker,10
aacebedo/cfdnsupdater,Travis,36
abcum/snappr,Circle,22
Ablu/docker-ubuntu-texlive-full,Docker,119
Accenture/adop-sonar,Docker,13
acfatah/docker-nginx,Docker,22
Actis/docker-atlassian-bamboo-agent,Docker,22
adalessa/laravel-container,Docker,13
adaptris/docker-interlok,Docker,197
adityareddy/Bifrost,Circle,14
AdrianoJS/test,Circle,30
adrienkohlbecker/docker-couchpotato,Docker,23
adzerk-oss/boot-clj-docker-image,Docker,19
Aeryax/docker-grimd,Docker,14
AFDC/Platinum,Circle,17
agross/docker-youtrack,Docker,115
ahmadhamadeh/guestbook,Circle,13
akamai-open/api-kickstart,Docker,201
akhan4u/Docker,Docker,17
akihiro/mirakurun,Docker,59
akilli/nginx,Docker,23
aknuds1/meteor-frontend-server,Docker,317
akurkin/lightweight_rails_app,Circle,22
alexanderilyin/docker-phpstorm,Docker,47
alexcheng1982/docker-magento2,Docker,14
alexisvincent/docker-php-extended,Docker,942
AllenY1987/kubernetes-docker,Docker,10
Alliander/docker-jenkins-jnlp-slave,Docker,15
amulyas/logstash-docker,Docker,26
andreassolberg/wordpress-smedstua,Travis,11
andreluiznsilva/docker-tomcat,Docker,12
andresriancho/django-uwsgi-nginx-ssh,Circle,10
andresriancho/w3af,Circle,94
andrewgaul/s3proxy,Travis,321
anokun7/counter-demo,Docker,74
antoine-aumjaud/api-docker,Travis,31
antoine-aumjaud/api-family,Travis,21
aofry/node-nano-service,Circle,13
appcelerator/docker-elasticsearch-amp,Docker,46
appcelerator/docker-influxdb-amp,Docker,10
appier/dockerfile-libvips-iojs,Docker,48
AppliedIS/EPA-RFI,Travis,78
arielkung/docker-jenkins-slave,Docker,12
ArimitsuSoftwareFoundation/internal-reverse-proxy,Circle,14
arnishow/clamav,Docker,106
arthurdk/tinder-telegram-bot,Docker,18
artpar/gisio,Travis,18
arwineap/docker-rubyalpine-nokogiri,Docker,73
askomics/docker-askomics,Docker,18
ASRNederland/gitlab-runner-puppet,Docker,26
astrolox/docker-redirect,Docker,48
atbaker/anti-voicemail,Travis,15
atende/docker-google-api-python,Docker,16
atomfrede/turbo-adventure,Circle,72
attract/jandh3_php-fpm,Docker,14
atyenoria/laravel-base-image,Circle,20
AusDTO/citizenship-appointment-server,Circle,51
aussielunix/docker-fpm-cook,Circle,28
authomator/authomator-spring-api,Travis,28
