nSuccessBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1,0,0,259,4,24,11,Docker,alpine
1,0,0.0011,297,5,17,8,Docker,ubuntu
1,0,0.0018,162,2,5,9,Docker,systemd
1,0,0.0023,46,6,62,17,Docker,base
1,0,0.0026,167,2,5,2,Docker,nginx
1,0,0.0032,228,4,11,61,Docker,debian
1,0,0.0037,48,1,12,13,Docker,alpine
1,0,0.0039,78,2.5,7,8,Docker,openjdk
1,0,0.023,22,6,17,50,Docker,ubuntu
1,0,0.0246,82,2,9,110,Docker,ubuntu
1,0,0.7883,20,6,22,10,Docker,debian
1,0,5.0872,14,9,24.5,18,Docker,apache2-php7
1,0,5.3457,14,1,12,6,Docker,ubuntu
1,0,13.0814,0,0.6,11.6,49,Circle,alpine-ruby
1,0,21.2345,0,2,16,4,Travis,rpi-raspbian
1,0,54.2374,27,8.6364,26.8182,35,Docker,minimal-notebook
1,0,61.9695,19,9.3333,20.3333,21,Docker,hadoop-docker
1,0,62.9792,0,2.25,16.75,51,Circle,base
1,0,65.8492,44,2,2,27,Docker,alpine-golang-make-onbuild
1,0,79.9721,0,6,12,126,Travis,golang
1,0,98.0739,0,4,9.5,55,Circle,node
1,0,114.074,20,7,40,8,Docker,alpine
1,0,123.565,0,0,6.6,52,Circle,node
1,0,178.519,11,0,8,4,Docker,alpine
1,0,184.718,0,4.4667,22.2333,64,Travis,nginx
1,0,296.855,0,11.5067,48.8667,141,Travis,baseimage
1,0,315.801,0,2.4483,20.8966,78,Travis,alpine
1,0,670.046,0,5,9,85,Circle,ruby
1,0,686.942,0,2,3,117,Travis,nginx
1,0,1089.4,0,1.8571,15,417,Circle,openjdk
2,0,0.0012,36,5.5,9.5,2,Docker,base-mate
2,0,0.0012,13,2,10,1,Docker,archlinux
2,0,0.0022,17,10,34.3333,28,Docker,ubuntu
2,0,0.0024,768,7,9,15,Docker,python
2,0,0.003,14,2.5,11,13,Docker,alpine
2,0,0.0045,27,1,18,9,Docker,alpine
2,0,0.0073,16,9,68.75,13,Docker,debian
2,0,0.0085,160,3,12,15,Docker,alpine
2,0,0.0172,30,1,14.5714,19,Docker,docker-yafrabase
2,0,0.0223,59,1,8,5,Docker,catalog-docker-base
2,0,0.0249,64,1,7,13,Docker,catalog-docker-base
2,0,0.0251,27,0,2,64,Docker,php
2,0,0.0253,12,2,11,8,Docker,alpine
2,0,0.0263,109,5.5,6,4,Docker,node
2,0,0.0356,14,1,24.3333,10,Docker,crcbase
2,0,0.0455,11,1,6,4,Docker,alpine
2,0,0.1041,0,22.2857,27.8571,46,Circle,ubuntu
2,0,0.7945,11,13,28,13,Docker,alpine
2,0,1.6989,0,7.875,41.7083,83,Circle,restweb
2,0,2.9346,27,5,17,3,Docker,ubuntu
2,0,3.7488,13,2,12.4444,36,Docker,sonarqube
2,0,5.0292,79,3.3333,12.6667,42,Docker,centos
2,0,12.8416,0,7.75,41.5,442,Circle,alpine
2,0,51.7653,0,8.625,43.875,40,Circle,ubuntu
2,0,63.9709,0,3,5,84,Travis,nginx
2,0,76.6853,14,14.1111,39.6667,46,Docker,dockergui
2,0,122.77,0,0,7,99,Circle,node
2,0,131.586,0,2,6.625,178,Circle,node
2,0,253.975,0,0,7,108,Circle,java
2,0,301.267,0,1,3,174,Circle,nginx
2,0,450.449,0,1,6,169,Travis,alpine-java
2,0,536.937,0,6.6667,26.6667,489,Circle,python
2,0,642.134,0,0.5,6.5,239,Circle,java
2,0,670.858,0,5.2,27.9,710,Circle,baseimage
2,0,780.828,0,4.125,17.375,360,Circle,ruby
3,0,0.0024,18,2.4286,25.4286,25,Docker,ubuntu
3,0,0.0026,123,4,11,2,Docker,debian
3,0,0.0028,27,2,8.3333,10,Docker,alpine
3,0,0.0035,15,2.75,5.5,10,Docker,jnlp-slave
3,0,0.0045,11,8,51,11,Docker,php
3,0,0.005,11,6,22,4,Docker,keycloak
3,0,0.0183,143,1.7143,5.2857,21,Docker,alpine
3,0,0.0272,19,2,8,4,Docker,centos
3,0,0.0356,16,1,5,8,Docker,alpine
3,0,0.0358,210,1,8,2,Docker,cflinuxfs2
3,0,0.0439,11,7,12,1,Docker,ubuntu
3,0,0.0567,13,10,48,3,Docker,alpn-consul
3,0,0.0617,213,1,8,3,Docker,cflinuxfs2
3,0,0.0715,27,5,11,12,Docker,mongodb-mms-agent-base
3,0,0.1397,0,1,28.6667,22,Travis,alpine
3,0,1.9172,0,4,10.5,28,Travis,stack
3,0,13.8373,0,1,5,75,Circle,node
3,0,29.8851,0,0,5,102,Circle,busybox
3,0,37.9263,0,1,3,133,Travis,nginx-template-image
3,0,42.7462,0,3,10.3333,89,Travis,python
3,0,62.2769,39,3.8182,12.3636,31,Docker,elasticsearch
3,0,64.8187,0,0,10,215,Travis,node
3,0,87.0817,0,1,7,51,Travis,rust
3,0,208.122,0,3,21,99,Circle,core-box
3,0,267.767,0,4.25,8.25,152,Circle,typo3-flow-neos-abstract
3,0,311.624,0,2.7317,18.1951,140,Travis,alpine
3,0,314.648,50,3,9,45,Docker,alpine
3,0,500.114,0,6.6667,26.5,173,Travis,python
