nErrorBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
54,0,0,0,4.25,13.75,125,Circle,build
14,0,0,0,1.3333,4.3333,261,Circle,alpine
30,0,0,0,4,24.3333,923,Circle,ruby
11,0,0,0,8.7826,62.4348,62,Circle,php
4,0,0,259,4,24,11,Docker,alpine
2,0,0.0007,190,2,16,14,Docker,haproxy
24,0,0.0008,0,7.9,15,401,Circle,docker-perl-app-base
36,0,0.0009,0,3,5.75,65,Circle,basebox
1,0,0.0012,13,2,10,1,Docker,archlinux
1,0,0.0012,18,3.4444,5.1111,18,Docker,latex
1,0,0.0017,60,5,31,32,Docker,ubuntu
47,0,0.0017,0,0,5,46,Circle,nginx
1,0,0.0018,162,2,5,9,Docker,systemd
2,0,0.0019,0,4,8.8,15,Circle,java
1,0,0.0019,11,4,8.8333,9,Docker,node
3,0,0.002,187,10,22,1,Docker,apache
5,0,0.002,111,3,6,5,Docker,ubuntu
1,0,0.002,189,2,5.1667,8,Docker,mesos-dns
27,0,0.002,0,17.0909,56.1818,51,Travis,ubuntu
2,0,0.0021,161,13.25,25.75,19,Docker,debian
2,0,0.0022,56,4.25,14.5,55,Docker,alpine
14,0,0.0022,26,7.64,7.44,27,Docker,ruby-firefox-xvfb
2,0,0.0023,18,1,2,12,Docker,mcollectived
5,0,0.0023,21,1,6,8,Docker,node
1,0,0.0024,768,7,9,15,Docker,python
1,0,0.0024,18,2.4286,25.4286,25,Docker,ubuntu
3,0,0.0025,14,8.5,35,47,Docker,base-image
1,0,0.0026,21,0,8.75,18,Docker,alpine
3,0,0.0029,754,4,8,6,Docker,gitlab-ce
2,0,0.003,17,1,19.2381,25,Docker,ubuntu
6,0,0.003,179,1,20.6667,10,Docker,jenkins-slave
3,0,0.0031,705,7,15.25,4,Docker,php
2,0,0.0032,24,5.5,9.875,21,Docker,centos
18,0,0.0032,0,2.4762,5.9524,89,Circle,hub-runtime
2,0,0.0033,18,1.3846,11.9231,13,Docker,alpine
1,0,0.0035,15,2.75,5.5,10,Docker,jnlp-slave
1,0,0.0035,243,1,11.5,27,Docker,alpine
1,0,0.0035,21,3.6667,21.3333,14,Docker,debian
4,0,0.0036,79,5.6667,12,60,Docker,debian
3,0,0.0039,17,4.25,25.375,17,Docker,ubuntu
1,0,0.0039,78,2.5,7,8,Docker,openjdk
1,0,0.0041,122,4.5,3,5,Docker,ubuntu
1,0,0.0041,295,1,5.5,58,Docker,kgs
2,0,0.0045,32,3.9565,18.4348,89,Docker,alpine
2,0,0.0047,81,4.6,23,15,Docker,jenkins
1,0,0.0049,0,3.5,21.8,57,Travis,alpine
1,0,0.005,32,10,23,25,Docker,baseimage
3,0,0.0052,20,4,18.6667,6,Docker,ruby
12,0,0.0053,84,6,14,12,Docker,docker-bitrise-base
4,0,0.0053,318,2,6,7,Docker,debian
4,0,0.0055,18,10.4615,37.7692,16,Docker,distributed
2,0,0.0056,22,3.25,11.625,29,Docker,zulu-openjdk
9,0,0.0057,0,3,16.3333,41,Circle,debian
1,0,0.0058,133,4,7,2,Docker,ubuntu
14,0,0.0058,56,2,8.1667,54,Docker,baseimage
1,0,0.0059,196,1.3333,4,5,Docker,alpine
2,0,0.0059,0,1,9,24,Circle,golang
3,0,0.0064,16,5.375,16.125,20,Docker,debian
1,0,0.0064,126,5,6,1,Docker,postgres
19,0,0.0069,0,4.8333,12.8333,64,Circle,docker-perl-app-base
1,0,0.0072,14,6.1818,27.0909,17,Docker,ubuntu
1,0,0.0073,16,9,68.75,13,Docker,debian
11,0,0.0075,0,1.5,5,85,Travis,scratch
1,0,0.0077,21,1.8571,40.5714,25,Docker,alpine
