nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
41,1,1.0685,0,0.5,47.5,181,Circle,centos
2,1,656.702,0,1,4,802,Travis,java
3,9,769.139,0,6,22,451,Travis,base
1,1,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
1,0,1366.79,0,3.5,4,659,Travis,jetty
1,3,0.0007,190,1.5,18.5,14,Docker,haproxy
1,1,0.001,290,3,18,10,Docker,debian
1,3,0.0017,60,5,39,32,Docker,ubuntu
1,10,0.002,111,3,7,5,Docker,ubuntu
2,1,0.0026,21,0,8.75,18,Docker,alpine
1,3,0.0033,27,7,27,18,Docker,ubuntu
1,1,0.0034,39,1,26,30,Docker,alpine
1,5,0.0037,48,1,13.6,13,Docker,alpine
1,5,0.0047,81,5,31,15,Docker,jenkins
1,9,0.0057,0,6,22,41,Circle,debian
1,5,0.0069,0,10,21,64,Circle,docker-perl-app-base
1,7,0.0085,139,5,69,30,Docker,centos
2,15,0.009,267,1,59,24,Docker,ubuntu
1,2,0.0091,0,6,33,42,Travis,ubuntu
1,10,0.0096,19,1,8,22,Docker,baseimage
1,1,0.0097,26,11,24,31,Docker,ubuntu
1,3,0.0121,16,6,10.5,5,Docker,baseimage
1,2,0.0142,17,1,12,10,Docker,debian
2,11,0.0172,57,1,8.5,24,Docker,centos
2,8,0.0249,64,1,8,13,Docker,catalog-docker-base
1,1,0.0296,31,1,16.6,38,Docker,alpine
1,0,0.0393,0,1.5,2.5,31,Travis,nginx
1,7,0.04,254,1,61,36,Docker,php
1,7,0.1996,0,12,29,447,Circle,passenger-ruby21
2,3,0.3458,41,3.5,9.5,19,Docker,spark-base
1,2,0.7877,12,1,38,18,Docker,baseimage
2,2,0.8634,199,7.4138,38.6897,42,Docker,d-apache-openssl
3,0,2.4809,14,0,3.6667,14,Docker,golang
1,2,5.0017,87,3,16,107,Docker,java
1,1,5.0218,25,6.5,21.2143,24,Docker,ubuntu
1,1,6.0182,129,13,21.5,141,Docker,debian
2,6,7.0611,0,1,9,684,Circle,basejava
2,2,8.0164,0,3.5714,37.2857,197,Travis,ubuntu
3,3,9.0212,0,3.6667,42.6667,248,Circle,centos
1,1,36.0031,0,0.5,2.75,36,Travis,node
1,1,42.7462,0,4,14,89,Travis,python
1,0,65.8406,15,0,1,34,Docker,node
2,1,70.3905,0,2.4,7,179,Travis,docker-rails
1,2,97.8665,0,0,18,52,Circle,alpine
1,22,141.097,262,12,26.2,515,Docker,python
1,2,149.07,0,6,11,54,Circle,ubuntu
1,1,151.209,27,9.6,40.6,171,Docker,ubuntu
3,3,183.34,0,1.3333,11,846,Travis,node
1,4,184.718,0,5,28,64,Travis,nginx
1,10,184.718,0,5,33,64,Travis,nginx
1,6,200.961,0,3,13,762,Circle,alpine-glibc
1,0,252.925,119,3.9355,18.0968,76,Docker,alpine
1,2,303.244,14,3,16,17,Docker,python
1,1,450.449,0,3,6,169,Travis,alpine-java
1,7,450.449,0,3,6,169,Travis,alpine-java
1,2,459.855,0,5,16,1083,Travis,litiv-base
1,4,489.985,0,1,11,284,Travis,node
1,5,489.985,0,1,11,284,Travis,node
1,5,690.974,0,1,2,302,Travis,viws
1,8,705.232,0,1,20,625,Travis,alpine-java
1,9,705.232,0,1,21,625,Travis,alpine-java
1,1,933.12,0,4,6,215,Travis,ubuntu
2,1,1211.31,0,2.5161,20.6452,3186,Circle,python
4,0,141.097,262,6.9091,8.4545,515,Docker,python
3,2,0.0537,141,2,9.6667,29,Docker,oracle-jdk
3,0,21.2345,0,2,16,4,Travis,rpi-raspbian
3,20,23.0597,0,1.7143,13,4106,Circle,alpine
3,3,315.801,0,2,24.6667,78,Travis,alpine
18,0,4.1674,12,0.1111,1,23,Docker,kube-apiserver-amd64
2,2,0.0022,27,11,19.5,27,Docker,golang
2,1,0.0024,18,1,47,25,Docker,ubuntu
2,4,0.0057,0,2.3333,19.3333,41,Circle,debian
2,16,1.0056,29,1,74,54,Docker,ubuntu
4,0,4.1889,0,3.5,3.3333,35,Circle,ubuntu
2,1,5.4865,0,10.8,12,32,Travis,debian
8,3,7.0611,0,1,9,684,Circle,basejava
2,11,7.7354,0,1,54,48,Travis,alpine
2,9,12.8416,0,3,31.8,442,Circle,alpine
2,1,64.0072,13,5.75,22.75,11,Docker,baseimage
2,14,97.8665,0,0,24.5,52,Circle,alpine
2,21,141.097,262,12,23.5,515,Docker,python
2,0,149.07,0,6,10.6667,54,Circle,ubuntu
2,8,267.745,0,4,15,181,Circle,core-box
2,18,314.648,50,3,19,45,Docker,alpine
4,4,315.801,0,1,23,78,Travis,alpine
2,0,573.165,0,1.5,33.75,1461,Travis,debian
2,14,1277.01,0,1.96,18.6,6221,Circle,cyclus-deps
2,0,1350.04,0,6.25,10,388,Travis,jetty
5,1,491.425,0,0,10,164,Circle,node
26,14,23.0597,0,2,16,4106,Circle,alpine
3,2,0.0524,0,18,49.6667,133,Travis,ubuntu
3,10,0.0638,182,4,19.75,49,Docker,baseimage-oraclejdk
3,13,97.8665,0,0,24,52,Circle,alpine
3,4,204.008,0,8,16,448,Travis,nginx
4,7,0.0028,27,2,15.75,10,Docker,alpine
4,7,0.0034,39,2,29.5,30,Docker,alpine
4,3,0.0069,0,7.75,18.75,64,Circle,docker-perl-app-base
4,2,6.0182,129,13,21.5,141,Docker,debian
4,20,12.8416,0,2,40,442,Circle,alpine
4,0,34.8089,48,5,17.8,22,Docker,node
5,2,226.178,0,6,15.6667,342,Travis,websphere-liberty
6,0,19.886,29,3.7778,25.6667,44,Docker,ubuntu-16-nginx-php-phpmyadmin
8,2,786.55,0,12,23,2304,Travis,php
1,6,0,0,7,19,125,Circle,build
2,5,0,0,2,5,261,Circle,alpine
1,8,0,0,2,5,261,Circle,alpine
2,9,0,0,1.4,6.4,261,Circle,alpine
3,1,0.0004,31,3,14,12,Docker,node
1,5,0.0007,26,8,19,32,Docker,ubuntu
1,8,0.0007,26,8,19,32,Docker,ubuntu
1,11,0.0007,26,8,19,32,Docker,ubuntu
2,17,0.0007,26,8,19,32,Docker,ubuntu
1,23,0.0007,26,8,19,32,Docker,ubuntu
1,1,0.0009,0,3,5.75,65,Circle,basebox
1,10,0.001,11,2,13,4,Docker,alpine
1,1,0.0011,297,5,17,8,Docker,ubuntu
2,16,0.0011,297,5,17,8,Docker,ubuntu
1,22,0.0011,297,5,17,8,Docker,ubuntu
1,24,0.0011,297,5,17,8,Docker,ubuntu
2,1,0.0013,306,5.5,14.5,8,Docker,ubuntu
1,2,0.0013,306,4,14.5,8,Docker,ubuntu
2,13,0.0014,17,3,11,24,Docker,alpine
1,14,0.0014,848,3,23,30,Docker,php
2,14,0.0014,17,1,9,24,Docker,alpine
2,27,0.0014,17,1,9,24,Docker,alpine
1,33,0.0014,17,1,9,24,Docker,alpine
1,0,0.0017,340,2,8.25,14,Docker,debian
1,4,0.0017,60,5,39,32,Docker,ubuntu
1,6,0.0017,60,5,41,32,Docker,ubuntu
1,10,0.0017,63,9,38,17,Docker,baseimage
1,10,0.0017,60,5.5,55.5,32,Docker,ubuntu
1,12,0.0018,162,3,7,9,Docker,systemd
1,0,0.0019,30,2.3333,8,73,Docker,arch-mini
1,1,0.0019,30,2,6,73,Docker,arch-mini
4,9,0.0019,0,4,10,15,Circle,java
2,1,0.002,0,17.0909,56.1818,51,Travis,ubuntu
1,4,0.002,0,25,81,51,Travis,ubuntu
1,9,0.002,111,3,7,5,Docker,ubuntu
2,13,0.002,111,3,8.5,5,Docker,ubuntu
1,1,0.0021,161,14,27,19,Docker,debian
1,2,0.0021,161,14,27,19,Docker,debian
2,4,0.0021,161,14,27,19,Docker,debian
1,6,0.0021,161,14,27,19,Docker,debian
1,10,0.0021,161,14,27,19,Docker,debian
3,14,0.0021,161,14,27,19,Docker,debian
2,8,0.0022,17,7,40,28,Docker,ubuntu
3,8,0.0022,56,1,23,55,Docker,alpine
2,1,0.0023,21,1,6,8,Docker,node
4,3,0.0023,18,1,2.5,12,Docker,mcollectived
4,6,0.0023,46,8,71,17,Docker,base
1,16,0.0023,18,0,2,12,Docker,mcollectived
2,1,0.0024,986,1,4,10,Docker,opensuse
1,5,0.0024,768,17,19,15,Docker,python
1,12,0.0024,18,1,76,25,Docker,ubuntu
1,1,0.0025,14,8,36,47,Docker,base-image
2,9,0.0026,21,0,8,18,Docker,alpine
2,1,0.0032,0,2.4762,5.9524,89,Circle,hub-runtime
4,3,0.0032,228,6,16,61,Docker,debian
1,4,0.0032,228,6,16,61,Docker,debian
4,6,0.0032,228,6,16,61,Docker,debian
