avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
0.3,4,526.864,0,1,7,479,Travis,ubuntu
0.3667,26,0.0014,17,1,9,24,Docker,alpine
0.4,0,0.0045,27,1,18,9,Docker,alpine
0.4,32,0.0014,17,1,9,24,Docker,alpine
0.4167,0,178.519,11,0,8,4,Docker,alpine
0.4167,4,0.0037,48,1,12,13,Docker,alpine
0.4167,12,378.032,41,0.25,7,42,Docker,docker
0.4333,0,0.0037,48,1,12,13,Docker,alpine
0.4333,6,0.0012,95,1.3333,9.3333,3,Docker,alpine
0.44165,2,0.0512,17,0,4.6667,13,Docker,nginx
0.4417,5,526.864,0,1,6.6667,479,Travis,ubuntu
0.445825,1,151.091,0,3.75,9.25,55,Travis,nginx
0.44585,4,315.801,0,1,23,78,Travis,alpine
0.45,0,0.0512,17,0,4.6667,13,Docker,nginx
0.465,9,315.801,0,1,23.875,78,Travis,alpine
0.48333333,1,0.0512,17,0,4.6667,13,Docker,nginx
0.48335,7,315.801,0,1,23,78,Travis,alpine
0.49723889,0,511.203,0,3.3333,7.6667,43,Travis,busybox
0.50835,11,0.0855,173,1,21,48,Docker,alpine-glibc
0.51666667,7,0.0004,137,3,3,1,Docker,prometheus
0.51668,9,311.624,0,1,24,140,Travis,alpine
0.5167,18,0.003,14,1,7,13,Docker,alpine
0.525,7,311.624,0,1,24,140,Travis,alpine
0.52757308,1,82.9521,0,1,5.6,927,Travis,lewis-depends
0.5278,4,311.624,0,1,24,140,Travis,alpine
0.52917222,0,0.0753,0,2,5,46,Travis,python
0.56110833,3,82.9521,0,1,8,927,Travis,lewis-depends
0.58333333,7,489.985,0,1,11,284,Travis,node
0.59697273,9,184.718,0,5,31,64,Travis,nginx
0.59996667,3,489.985,0,0.9091,7.4545,284,Travis,node
0.6,4,489.985,0,1,11,284,Travis,node
0.6,7,184.718,0,5,28,64,Travis,nginx
0.60166,6,489.985,0,1,11,284,Travis,node
0.60951429,5,489.985,0,1,11,284,Travis,node
0.625,10,184.718,0,5,33,64,Travis,nginx
